[Input]
P1 A|P1 Right|P1 Left|P1 Down|P1 B|P1 Select|P1 Start|P1 Up|
|..|........|
|..|...DB...|
|..|A..D....|
|..|A.......|
|..|...DB...|
|..|.R..B...|
|..|...DB...|
|..|...DB...|
|..|A..D....|
|..|...DB...|
|..|...DB...|
|..|....B..U|
|..|A..D....|
|..|A......U|
|..|.R..B...|
|..|...DB...|
|..|....B..U|
|..|....B..U|
|..|AR......|
|..|....B..U|
|..|AR......|
|..|....B...|
|..|....B...|
|..|...DB...|
|..|....B..U|
|..|.R..B...|
|..|A......U|
|..|....B...|
|..|....B..U|
|..|A......U|
|..|AR......|
|..|AR......|
|..|...DB...|
|..|....B...|
|..|....B..U|
|..|A......U|
|..|AR......|
|..|...DB...|
|..|....B...|
|..|...DB...|
|..|AR......|
|..|.R..B...|
|..|....B..U|
|..|A.......|
|..|....B..U|
|..|.R..B...|
|..|A.......|
|..|.R..B...|
|..|A......U|
|..|...DB...|
|..|A.......|
|..|A..D....|
|..|....B..U|
|..|AR......|
|..|....B...|
|..|....B..U|
|..|....B..U|
|..|A..D....|
|..|....B..U|
|..|AR......|
|..|A......U|
|..|AR......|
|..|A.......|
|..|....B...|
|..|A.......|
|..|....B..U|
|..|A.......|
|..|A......U|
|..|A......U|
|..|.R..B...|
|..|...DB...|
|..|A..D....|
|..|AR......|
|..|....B...|
|..|AR......|
|..|....B..U|
|..|....B...|
|..|A..D....|
|..|AR......|
|..|AR......|
|..|...DB...|
|..|.R..B...|
|..|...DB...|
|..|....B...|
|..|AR......|
|..|....B...|
|..|A......U|
|..|...DB...|
|..|A.......|
|..|....B...|
|..|....B...|
|..|A..D....|
|..|...DB...|
|..|A.......|
|..|....B...|
|..|.R..B...|
|..|.R..B...|
|..|.R..B...|
|..|A......U|
|..|A......U|
|..|....B...|
|..|...DB...|
|..|...DB...|
|..|AR......|
|..|AR......|
|..|.R..B...|
|..|AR......|
|..|....B..U|
|..|....B..U|
|..|.R..B...|
|..|A......U|
|..|...DB...|
|..|A..D....|
|..|A......U|
|..|A.......|
|..|...DB...|
|..|A.......|
|..|...DB...|
|..|.R..B...|
|..|....B...|
|..|.R..B...|
|..|A.......|
|..|AR......|
|..|.R..B...|
|..|A.......|
|..|....B..U|
|..|A......U|
|..|A.......|
|..|A.......|
|..|AR......|
|..|AR......|
|..|A.......|
|..|....B...|
|..|....B..U|
|..|....B..U|
|..|.R..B...|
|..|.R..B...|
|..|....B...|
|..|AR......|
|..|A.......|
|..|....B...|
|..|....B..U|
|..|....B...|
|..|....B...|
|..|....B..U|
|..|...DB...|
|..|....B...|
|..|A......U|
|..|A......U|
|..|A..D....|
|..|A..D....|
|..|A..D....|
|..|....B..U|
|..|....B..U|
|..|A..D....|
|..|A.......|
|..|....B...|
|..|...DB...|
|..|....B..U|
|..|.R..B...|
|..|....B...|
|..|A..D....|
|..|A......U|
|..|AR......|
|..|...DB...|
|..|....B..U|
|..|AR......|
|..|...DB...|
|..|AR......|
|..|.R..B...|
|..|...DB...|
|..|AR......|
|..|....B...|
|..|A......U|
|..|....B..U|
|..|AR......|
|..|A.......|
|..|.R..B...|
|..|A.......|
|..|A.......|
|..|AR......|
|..|...DB...|
|..|.R..B...|
|..|A..D....|
|..|A......U|
|..|A......U|
|..|A..D....|
|..|AR......|
|..|A......U|
|..|....B...|
|..|A..D....|
|..|A..D....|
|..|AR......|
|..|....B...|
|..|.R..B...|
|..|AR......|
|..|A..D....|
|..|A..D....|
|..|.R..B...|
|..|....B...|
|..|AR......|
[/Input]
